article,date,pageview
Nelson Mandela,2014-12-17,7070
Nelson Mandela,2014-12-18,6482
Nelson Mandela,2014-12-19,4900
Nelson Mandela,2014-12-20,3277
Nelson Mandela,2014-12-21,3674
Nelson Mandela,2014-12-22,4699
Nelson Mandela,2014-12-23,4676
Nelson Mandela,2014-12-24,3735
Nelson Mandela,2014-12-25,3307
Nelson Mandela,2014-12-26,3404
Nelson Mandela,2014-12-27,4707
Nelson Mandela,2014-12-28,3842
Nelson Mandela,2014-12-29,4288
Nelson Mandela,2014-12-30,4451
Nelson Mandela,2014-12-31,3787
Nelson Mandela,2015-01-01,3077
Nelson Mandela,2015-01-02,4840
Nelson Mandela,2015-01-03,4199
Nelson Mandela,2015-01-04,5195
Nelson Mandela,2015-01-05,6536
Nelson Mandela,2015-01-06,8865
Nelson Mandela,2015-01-07,7338
Nelson Mandela,2015-01-08,7170
Nelson Mandela,2015-01-09,6594
Nelson Mandela,2015-01-10,5459
Nelson Mandela,2015-01-11,6279
Nelson Mandela,2015-01-12,8318
Nelson Mandela,2015-01-13,8162
Nelson Mandela,2015-01-14,7834
Nelson Mandela,2015-01-15,7841
Nelson Mandela,2015-01-16,6777
Nelson Mandela,2015-01-17,4711
Nelson Mandela,2015-01-18,10419
Nelson Mandela,2015-01-19,8287
Nelson Mandela,2015-01-20,9377
Nelson Mandela,2015-01-21,8255
Nelson Mandela,2015-01-22,8425
Nelson Mandela,2015-01-23,8211
Nelson Mandela,2015-01-24,6311
Nelson Mandela,2015-01-25,7233
Nelson Mandela,2015-01-26,8189
Nelson Mandela,2015-01-27,8971
Nelson Mandela,2015-01-28,8578
Nelson Mandela,2015-01-29,8637
Nelson Mandela,2015-01-30,7434
Nelson Mandela,2015-01-31,3844
Nelson Mandela,2015-02-01,5780
Nelson Mandela,2015-02-02,8886
Nelson Mandela,2015-02-03,8940
Nelson Mandela,2015-02-04,10407
Nelson Mandela,2015-02-05,0
Nelson Mandela,2015-02-06,8105
Nelson Mandela,2015-02-07,5984
Nelson Mandela,2015-02-08,6119
Nelson Mandela,2015-02-09,9256
Nelson Mandela,2015-02-10,10184
Nelson Mandela,2015-02-11,17164
Nelson Mandela,2015-02-12,10834
Nelson Mandela,2015-02-13,7213
Nelson Mandela,2015-02-14,6033
Nelson Mandela,2015-02-15,5800
Nelson Mandela,2015-02-16,9117
Nelson Mandela,2015-02-17,8892
Nelson Mandela,2015-02-18,8215
Nelson Mandela,2015-02-19,8147
Nelson Mandela,2015-02-20,6890
Nelson Mandela,2015-02-21,4824
Nelson Mandela,2015-02-22,7371
Nelson Mandela,2015-02-23,9351
Nelson Mandela,2015-02-24,9107
Nelson Mandela,2015-02-25,9426
Nelson Mandela,2015-02-26,8336
Nelson Mandela,2015-02-27,7038
Nelson Mandela,2015-02-28,4298
Nelson Mandela,2015-03-01,5773
Nelson Mandela,2015-03-02,9692
Nelson Mandela,2015-03-03,8417
Nelson Mandela,2015-03-04,8369
Nelson Mandela,2015-03-05,7416
Nelson Mandela,2015-03-06,6999
Nelson Mandela,2015-03-07,4417
Nelson Mandela,2015-03-08,5509
Nelson Mandela,2015-03-09,7767
Nelson Mandela,2015-03-10,7756
